index,username,pronoun,ppron,i,we,you,3rdPersonSingular,they,ipron,verb,past,present,future,adverb,prepositions,conjunction,negation,quantifier,number,swear,social,family,friend,humans,affect,posemo,negemo,anxiety,anger,sad,cogmech,insight,cause,discrepancy,tentative,certain,inhibition,include,exclusive,percept,see,hear,feel,bio,body,health,sexual,ingestion,relative,motion,space,time,politic,work,achieve,leisure,home,money,religion,death,assent,wordsgtsix,Extraversion,Aggreeableness,Concientiousness,Opennes,Neuroticism
21,suslu08,0.023,0.006999999999999999,0.004,0.0,0.003,0.001,0.0,0.019,0.078,0.0,0.0,0.0,0.013999999999999999,0.034,0.025,0.006,0.019,0.016,0.001,0.034,0.001,0.003,0.006,0.040999999999999995,0.027999999999999997,0.012,0.002,0.004,0.006999999999999999,0.08800000000000001,0.038,0.012,0.006,0.013999999999999999,0.006999999999999999,0.001,0.012,0.006999999999999999,0.02,0.011000000000000001,0.002,0.009000000000000001,0.024,0.006999999999999999,0.01,0.003,0.006999999999999999,0.062,0.013000000000000001,0.021,0.03,0.001,0.022000000000000002,0.019,0.026000000000000002,0.005,0.006,0.01,0.001,0.003,0.11599999999999999,20,14,14,8,38
22,OsmanATAK5,0.025,0.01,0.004,0.001,0.001,0.003,0.001,0.022,0.07400000000000001,0.0,0.0,0.0,0.018000000000000002,0.023,0.021,0.008,0.016,0.013,0.0,0.043,0.003,0.002,0.017,0.032,0.017,0.014,0.001,0.006999999999999999,0.005,0.08900000000000001,0.035,0.018000000000000002,0.005,0.014,0.006999999999999999,0.006999999999999999,0.011,0.01,0.017,0.011,0.0,0.004,0.027000000000000003,0.006999999999999999,0.01,0.004,0.006999999999999999,0.071,0.017,0.029,0.032,0.001,0.025,0.028,0.02,0.001,0.004,0.003,0.005,0.001,0.102,25,23,24,25,19
23,erenves,0.043,0.023,0.006999999999999999,0.005,0.005,0.006999999999999999,0.0,0.028999999999999998,0.083,0.0,0.0,0.0,0.013000000000000001,0.012,0.027999999999999997,0.003,0.013999999999999999,0.004,0.006999999999999999,0.046,0.006999999999999999,0.002,0.008,0.035,0.021,0.013000000000000001,0.001,0.005,0.002,0.096,0.035,0.013999999999999999,0.005,0.006999999999999999,0.008,0.01,0.01,0.008,0.019,0.009000000000000001,0.004,0.006999999999999999,0.027999999999999997,0.011000000000000001,0.005,0.005,0.012,0.055999999999999994,0.019,0.013999999999999999,0.026000000000000002,0.002,0.017,0.012,0.02,0.0,0.006999999999999999,0.004,0.002,0.002,0.10300000000000001,30,16,23,25,28
24,_haticenur_,0.027000000000000003,0.006999999999999999,0.0,0.0,0.006,0.001,0.0,0.02,0.08900000000000001,0.0,0.0,0.0,0.01,0.009000000000000001,0.01,0.001,0.008,0.005,0.0,0.087,0.0,0.0,0.033,0.018000000000000002,0.009000000000000001,0.009000000000000001,0.006,0.002,0.001,0.07200000000000001,0.047,0.003,0.001,0.002,0.006999999999999999,0.003,0.006,0.008,0.052000000000000005,0.047,0.002,0.001,0.012,0.006999999999999999,0.001,0.001,0.006,0.048,0.029,0.006999999999999999,0.014,0.002,0.037000000000000005,0.01,0.052000000000000005,0.0,0.003,0.006,0.001,0.001,0.152,31,22,16,30,31
25,metehankonbul,0.025,0.008,0.001,0.0,0.003,0.003,0.0,0.022000000000000002,0.076,0.0,0.0,0.0,0.021,0.024,0.027000000000000003,0.009000000000000001,0.013999999999999999,0.013000000000000001,0.0,0.032,0.002,0.0,0.003,0.043,0.025,0.017,0.0,0.003,0.005,0.092,0.036000000000000004,0.01,0.005,0.008,0.009000000000000001,0.011000000000000001,0.008,0.012,0.023,0.013000000000000001,0.004,0.006,0.017,0.009000000000000001,0.002,0.0,0.004,0.065,0.011000000000000001,0.022000000000000002,0.032,0.0,0.02,0.021,0.04,0.001,0.004,0.005,0.0,0.004,0.127,22,26,26,33,26
26,omermani,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.045,0.0,0.058,0.013,0.013,0.0,0.049,0.045,0.004,0.0,0.0,0.0,0.031,0.018000000000000002,0.0,0.004,0.009000000000000001,0.004,0.0,0.004,0.0,0.018000000000000002,0.013,0.004,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.0,0.0,0.022,0.112,0.071,0.013,0.049,0.004,0.054000000000000006,0.04,0.076,0.004,0.0,0.0,0.004,0.0,0.138,23,11,19,13,29
27,anilkaratopak,0.028999999999999998,0.011000000000000001,0.004,0.003,0.004,0.001,0.0,0.019,0.07,0.0,0.0,0.0,0.02,0.023,0.021,0.006,0.016,0.013999999999999999,0.002,0.04,0.001,0.001,0.003,0.048,0.033,0.015,0.002,0.006,0.006,0.066,0.02,0.009000000000000001,0.001,0.006999999999999999,0.008,0.003,0.009000000000000001,0.008,0.022000000000000002,0.011000000000000001,0.009000000000000001,0.005,0.013999999999999999,0.005,0.001,0.002,0.005,0.073,0.02,0.02,0.037000000000000005,0.004,0.027000000000000003,0.026000000000000002,0.057,0.002,0.002,0.006999999999999999,0.003,0.002,0.12,19,25,22,26,18
28,karacaoglanb,0.031,0.016,0.008,0.001,0.003,0.004,0.0,0.021,0.08,0.0,0.0,0.0,0.021,0.022,0.022,0.005,0.017,0.009000000000000001,0.004,0.032,0.003,0.002,0.006999999999999999,0.052000000000000005,0.033,0.019,0.001,0.009000000000000001,0.003,0.093,0.039,0.013,0.009000000000000001,0.013,0.006999999999999999,0.009000000000000001,0.008,0.009000000000000001,0.013,0.005,0.003,0.003,0.012,0.005,0.003,0.003,0.003,0.065,0.017,0.016,0.031,0.002,0.022,0.025,0.01,0.002,0.01,0.001,0.001,0.002,0.121,23,19,21,26,22
29,benan_deniz,0.023,0.015,0.002,0.0,0.006,0.006,0.0,0.017,0.055,0.0,0.0,0.0,0.011000000000000001,0.023,0.027999999999999997,0.013000000000000001,0.006,0.019,0.0,0.043,0.002,0.002,0.004,0.055,0.023,0.032,0.006,0.017,0.006,0.1,0.036000000000000004,0.011000000000000001,0.011000000000000001,0.009000000000000001,0.013000000000000001,0.002,0.015,0.019,0.013000000000000001,0.006,0.0,0.006,0.006,0.004,0.002,0.0,0.0,0.07200000000000001,0.011000000000000001,0.026000000000000002,0.038,0.019,0.017,0.013000000000000001,0.004,0.002,0.004,0.002,0.0,0.009000000000000001,0.111,18,17,27,23,36
30,DurgunMrt,0.028,0.012,0.002,0.001,0.004,0.003,0.0,0.021,0.077,0.0,0.0,0.0,0.017,0.028,0.025,0.001,0.021,0.017,0.002,0.04,0.003,0.002,0.011,0.033,0.024,0.009000000000000001,0.0,0.003,0.002,0.087,0.031,0.02,0.003,0.01,0.008,0.002,0.011,0.006,0.018000000000000002,0.012,0.001,0.005,0.017,0.003,0.004,0.001,0.005,0.071,0.011,0.032,0.029,0.01,0.023,0.027000000000000003,0.02,0.003,0.009000000000000001,0.003,0.001,0.001,0.124,14,17,20,22,16
