ingestion,health,swear,anger,cause,leisure,inhibition,space,money,motion,sad,sexual,bio,negemo,we
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.000,0.000,0.000,0.000,0.009,0.000,0.011,0.000,0.020,0.000,0.000,0.013,0.013,0.000
0.046,0.038,0.075,0.042,0.050,0.152,0.025,0.090,0.050,0.114,0.033,0.016,0.095,0.073,0.014
