motion,ingestion,i,friend,leisure,swear,politic,sad,cause,humans,negemo,work,see,inhibition,negation
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020,0.006,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.013,0.004,0.000,0.000,0.000
0.114,0.046,0.054,0.038,0.152,0.075,0.031,0.033,0.050,0.079,0.073,0.139,0.134,0.025,0.030
