politic,swear,motion,discrepancy,family,negemo,religion,body,time,home,achieve,certain,exclusive,anxiety,death
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000,0.000,0.020,0.002,0.000,0.013,0.000,0.007,0.025,0.000,0.003,0.000,0.000,0.000,0.000
0.031,0.075,0.114,0.043,0.027,0.073,0.036,0.062,0.142,0.029,0.088,0.031,0.024,0.018,0.013
