see,motion,leisure,anxiety,family,politic,humans,swear,cause,time,discrepancy,inhibition,posemo,home,certain
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.000,0.020,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.002,0.000,0.019,0.000,0.000
0.134,0.114,0.152,0.018,0.027,0.031,0.079,0.075,0.050,0.142,0.043,0.025,0.097,0.029,0.031
