leisure,anger,i,politic,motion,sexual,religion,certain,achieve,space,see,insight,posemo,inhibition,home
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.003,0.011,0.000,0.033,0.019,0.000,0.000
0.152,0.042,0.054,0.031,0.114,0.016,0.036,0.031,0.088,0.090,0.134,0.096,0.097,0.025,0.029
